Nombre;Apellido;Dinero;Direccion;Telefono;Email;Password;N_Pedidos
Juan;Fernández;3741.95;Calle 97, Ciudad;8701692438;juan@example.com;7lpZLkLJ;4
Valeria;López;9684.87;Calle 43, Ciudad;2985403632;valeria@example.com;vaXfl4FO;1
Sofía;López;4932.35;Calle 76, Ciudad;7677261629;sofía@example.com;6xldR8Nh;2
Ana;Pérez;7056.22;Calle 54, Ciudad;5070549245;ana@example.com;QUTaOdgw;9
Diego;Torres;3058.72;Calle 38, Ciudad;9251711081;diego@example.com;CgagwqAI;8
Ana;Fernández;3293.68;Calle 84, Ciudad;9127644456;ana@example.com;Ihnw7ZeP;4
María;Martínez;8716.4;Calle 42, Ciudad;3235952714;maría@example.com;nScRC55p;4
Valeria;Pérez;3763.66;Calle 95, Ciudad;1064533322;valeria@example.com;r2uauOa2;6
Pedro;López;5015.63;Calle 85, Ciudad;0094107761;pedro@example.com;37u9OPHo;8
Juan;Sánchez;8967.45;Calle 83, Ciudad;8206263589;juan@example.com;G381ElpR;1
Pedro;Rodríguez;1995.1;Calle 23, Ciudad;1404512547;pedro@example.com;Ei4VQPOG;1
María;Ramírez;7870.81;Calle 55, Ciudad;3864932377;maría@example.com;ot47u6jN;7
Laura;Pérez;206.29;Calle 59, Ciudad;1713596097;laura@example.com;6fhNokQI;10
Ana;Pérez;9910.66;Calle 9, Ciudad;2613466651;ana@example.com;bqq61Imt;1
Ana;Ramírez;8001.74;Calle 1, Ciudad;3531120716;ana@example.com;jCbLJxU0;8
Valeria;Sánchez;6504.19;Calle 98, Ciudad;8140700100;valeria@example.com;UKLV2SPb;6
Laura;Pérez;5111.33;Calle 99, Ciudad;1929433896;laura@example.com;e9RYwFZ8;7
Diego;Fernández;4092.68;Calle 82, Ciudad;4175945728;diego@example.com;LhtWe58L;3
María;López;6062.95;Calle 47, Ciudad;6166544731;maría@example.com;ddEZ74LA;7
Luis;Martínez;3373.66;Calle 86, Ciudad;1196608319;luis@example.com;eBlCIrxj;3
Diego;Martínez;8051.66;Calle 37, Ciudad;9849490717;diego@example.com;GFLrZk7j;4
Juan;Ramírez;1784.8;Calle 70, Ciudad;0912937146;juan@example.com;FZn2gcW5;7
Valeria;Gómez;696.21;Calle 28, Ciudad;1771269068;valeria@example.com;oPATtqKh;3
Diego;López;2629.45;Calle 42, Ciudad;2681669585;diego@example.com;9b5OBKDh;9
María;López;1268.9;Calle 94, Ciudad;6840183733;maría@example.com;rP6ZQK4a;6
Ana;Martínez;2072.55;Calle 9, Ciudad;3519674925;ana@example.com;Ss9ZIiR7;10
Pedro;Pérez;6840.4;Calle 69, Ciudad;8156980905;pedro@example.com;c8gIs8u0;1
Carlos;Sánchez;5732.95;Calle 20, Ciudad;2923726996;carlos@example.com;8BsNrCG0;10
Pedro;López;3605.83;Calle 71, Ciudad;7489636849;pedro@example.com;fkUw8rXC;7
Valeria;Pérez;2042.0;Calle 68, Ciudad;7142010879;valeria@example.com;5ei3YGk5;10
Sofía;Pérez;2382.31;Calle 76, Ciudad;0847278472;sofía@example.com;DWauqSEu;5
Ana;Ramírez;8759.1;Calle 56, Ciudad;0757999957;ana@example.com;OU8iaDtT;9
María;Díaz;3233.66;Calle 66, Ciudad;0969986010;maría@example.com;uilH0koM;7
Sofía;López;9607.1;Calle 31, Ciudad;1105484484;sofía@example.com;EIPeG0BZ;1
Luis;Gómez;6692.59;Calle 86, Ciudad;7561651543;luis@example.com;HlYiQKxm;1
Diego;Ramírez;9348.6;Calle 78, Ciudad;0491156916;diego@example.com;Mpbj04rE;10
